                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.54661,                0.53882,                 1.0378,                0.60378,                0.66277,                 1.0609,                0.85665,                0.86529,                0.91387,                 0.7373,                0.84409,                0.75386,                 1.2929,                0.85187,                0.84529,                 1.3173,             0.00024619,             0.00024619,             0.00024619
                     82,                0.53988,                0.54517,                 1.0453,                0.60476,                0.65718,                   1.07,                0.86066,                 0.8262,                0.91978,                0.77178,                0.75857,                0.72297,                 1.2176,                0.76518,                0.81618,                 1.2369,             0.00024509,             0.00024509,             0.00024509
                     83,                0.54345,                0.51942,                 1.0474,                0.59933,                0.61427,                 1.0691,                0.81125,                0.82714,                0.89844,                0.73104,                0.83448,                 0.8492,                 1.2991,                0.85568,                0.95356,                 1.3374,             0.00024399,             0.00024399,             0.00024399
                     84,                0.54721,                0.50905,                 1.0427,                0.60614,                  0.601,                 1.0663,                0.83404,                0.86863,                0.92922,                 0.7445,                0.88217,                0.67236,                 1.3393,                0.90802,                0.73651,                   1.37,             0.00024289,             0.00024289,             0.00024289
                     85,                0.55717,                0.53023,                 1.0448,                0.61679,                0.63296,                  1.067,                0.90883,                0.79479,                0.89528,                0.71678,                0.87341,                0.62397,                 1.3333,                0.89891,                0.73978,                 1.3654,             0.00024179,             0.00024179,             0.00024179
                     86,                0.55272,                0.51439,                 1.0486,                0.60366,                0.61501,                  1.068,                0.82662,                0.82671,                0.91928,                0.74376,                0.80724,                0.86116,                 1.2782,                0.83839,                0.94955,                  1.314,             0.00024069,             0.00024069,             0.00024069
                     87,                0.54716,                0.50947,                 1.0336,                0.60408,                0.61191,                 1.0573,                0.84347,                0.83866,                0.90038,                0.73693,                0.85647,                0.73844,                 1.3463,                0.86455,                0.79526,                 1.3693,             0.00023959,             0.00023959,             0.00023959
                     88,                0.51728,                0.50471,                 1.0203,                0.57209,                0.60658,                 1.0426,                0.90881,                0.84486,                0.92536,                0.73785,                0.89687,                0.60991,                 1.4249,                0.91746,                0.64792,                 1.4523,             0.00023849,             0.00023849,             0.00023849
                     89,                0.53454,                0.51155,                 1.0356,                0.59203,                0.62353,                 1.0553,                0.81995,                0.90102,                0.91609,                0.74322,                0.84454,                0.66767,                 1.3144,                0.85752,                0.78711,                 1.3423,              0.0002374,              0.0002374,              0.0002374
                     90,                0.53804,                0.48688,                 1.0347,                0.59466,                0.56539,                 1.0546,                0.83922,                0.87238,                0.93348,                0.75662,                0.83193,                0.74601,                 1.3089,                0.84905,                0.79873,                 1.3441,              0.0002363,              0.0002363,              0.0002363
                     91,                0.54669,                0.50699,                 1.0378,                0.60432,                0.60027,                  1.061,                0.88782,                0.86538,                0.91762,                 0.7565,                0.78515,                0.62144,                 1.2615,                0.78798,                 0.6939,                 1.2696,              0.0002352,              0.0002352,              0.0002352
                     92,                0.54214,                 0.5181,                 1.0549,                 0.6011,                0.61842,                 1.0798,                0.85526,                0.86079,                0.93608,                0.76402,                0.81572,                0.66084,                 1.3298,                0.81462,                0.67116,                 1.3398,              0.0002341,              0.0002341,              0.0002341
                     93,                0.54537,                0.50717,                 1.0466,                0.60181,                0.61226,                 1.0697,                 0.9247,                0.80342,                0.94356,                0.78409,                0.78581,                0.61652,                 1.2694,                0.78534,                0.68986,                 1.2705,               0.000233,               0.000233,               0.000233
                     94,                0.54576,                0.52573,                 1.0394,                0.60204,                0.63177,                  1.061,                0.89095,                0.84903,                0.93095,                0.72573,                0.95404,                0.61415,                 1.4905,                0.97121,                0.73251,                  1.512,              0.0002319,              0.0002319,              0.0002319
                     95,                0.53225,                0.48671,                 1.0301,                0.58563,                0.58206,                 1.0488,                0.89279,                0.81575,                0.92644,                0.72478,                0.94273,                0.72799,                 1.4766,                0.97552,                 0.7557,                 1.5102,              0.0002308,              0.0002308,              0.0002308
                     96,                0.52341,                0.49543,                 1.0258,                0.58355,                0.57999,                 1.0472,                0.87147,                0.85203,                0.93582,                0.75098,                0.86463,                0.59438,                 1.3601,                0.87084,                0.60641,                 1.3629,              0.0002297,              0.0002297,              0.0002297
                     97,                0.52217,                0.48024,                 1.0219,                0.58087,                0.57373,                 1.0415,                 0.8905,                0.85882,                0.92528,                0.76945,                0.76416,                0.64455,                 1.2322,                0.76789,                0.70471,                 1.2418,              0.0002286,              0.0002286,              0.0002286
                     98,                0.53026,                0.48067,                 1.0261,                0.59012,                0.56871,                 1.0484,                0.90001,                0.83871,                 0.9276,                0.77413,                0.74294,                0.64826,                 1.2192,                 0.7589,                 0.7429,                 1.2501,             0.00022751,             0.00022751,             0.00022751
                     99,                0.52537,                0.46473,                 1.0295,                0.57951,                0.54938,                 1.0484,                0.83962,                0.85567,                0.91921,                0.75279,                0.79936,                0.71914,                 1.2791,                0.80586,                0.81095,                 1.2955,             0.00022641,             0.00022641,             0.00022641
                    100,                0.52983,                0.49336,                  1.028,                0.58937,                0.58198,                 1.0509,                0.88266,                0.85203,                0.91497,                0.71061,                0.95025,                0.68151,                 1.4361,                0.97147,                0.77936,                 1.4707,             0.00022531,             0.00022531,             0.00022531
                    101,                0.53442,                0.48276,                 1.0295,                0.59214,                0.56894,                 1.0503,                0.87191,                0.82883,                0.93049,                0.75321,                0.85578,                0.59465,                 1.3474,                0.87465,                0.65964,                 1.3738,             0.00022421,             0.00022421,             0.00022421
                    102,                0.51881,                0.46595,                 1.0256,                0.56891,                 0.5585,                 1.0452,                0.84538,                 0.8093,                0.91484,                0.74051,                0.83068,                0.70122,                 1.3289,                0.84804,                0.78658,                 1.3451,             0.00022311,             0.00022311,             0.00022311
                    103,                0.52523,                0.48359,                 1.0301,                  0.585,                0.57518,                 1.0527,                0.86903,                0.85371,                0.92025,                 0.7673,                0.78047,                0.76008,                 1.2474,                0.78909,                0.84013,                 1.2765,             0.00022201,             0.00022201,             0.00022201
                    104,                 0.5244,                0.47977,                 1.0407,                0.57698,                0.55906,                 1.0609,                0.86378,                0.83452,                0.92153,                0.75045,                0.80784,                0.73957,                 1.3055,                0.82295,                0.77635,                 1.3407,             0.00022091,             0.00022091,             0.00022091
                    105,                0.54248,                0.48062,                 1.0438,                0.59524,                0.57484,                 1.0657,                0.84052,                0.84736,                0.91694,                0.75009,                0.83008,                0.80388,                 1.3246,                0.84881,                0.91435,                 1.3571,             0.00021981,             0.00021981,             0.00021981
