                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.23271,                 0.4799,                0.96847,                0.25428,                0.49103,                0.97736,                0.98567,                0.98267,                0.99408,                0.99369,                0.13895,                0.14695,                0.23023,                0.12398,                0.09531,                0.23125,             0.00019225,             0.00019225,             0.00019225
                     73,                0.23236,                0.47342,                0.97147,                0.25554,                0.48695,                 0.9803,                0.98243,                0.99041,                 0.9946,                0.99434,                0.11535,                0.13086,                0.19548,                0.10447,                0.07728,                0.19444,             0.00019142,             0.00019142,             0.00019142
                     74,                0.22598,                0.45489,                0.96929,                0.24888,                0.46286,                0.97953,                 0.9916,                0.99214,                0.99482,                0.99154,                 0.1636,                0.17885,                0.26798,                0.15959,                0.08038,                0.29592,              0.0001906,              0.0001906,              0.0001906
                     75,                 0.2208,                0.47282,                0.96411,                0.24601,                0.48334,                0.97309,                 0.9739,                0.96604,                0.99438,                0.99433,                0.10494,                0.13594,                0.20442,                0.09403,                0.11321,                 0.2186,             0.00018977,             0.00018977,             0.00018977
                     76,                0.23006,                0.49717,                 0.9756,                 0.2525,                 0.5137,                0.98538,                0.98043,                0.99135,                0.99474,                0.99468,                0.15303,                0.16025,                0.24062,                0.14063,                0.09051,                0.25747,             0.00018895,             0.00018895,             0.00018895
                     77,                0.22933,                 0.4753,                0.96638,                0.25062,                0.48148,                0.97626,                0.98325,                0.98406,                0.99435,                0.99381,                0.12723,                0.14581,                0.20868,                0.13251,                0.09591,                0.23242,             0.00018812,             0.00018812,             0.00018812
                     78,                0.22282,                0.49166,                0.96692,                0.24225,                0.50524,                0.97566,                0.98345,                0.97583,                0.99384,                0.99316,                0.11972,                0.13639,                0.20358,                0.12467,                0.09582,                0.22424,              0.0001873,              0.0001873,              0.0001873
                     79,                0.21619,                0.46184,                0.96323,                0.23838,                0.47248,                0.97132,                0.96836,                0.97521,                 0.9935,                0.99126,                0.12136,                0.13121,                0.20421,                0.12715,                 0.1125,                0.21848,             0.00018648,             0.00018648,             0.00018648
                     80,                0.22927,                0.47245,                0.96952,                0.24869,                  0.485,                0.97903,                0.96627,                0.98458,                0.99215,                 0.9918,                0.15007,                0.15023,                0.24794,                0.14687,                0.11174,                0.26455,             0.00018565,             0.00018565,             0.00018565
                     81,                0.21401,                 0.4604,                0.95815,                0.23331,                0.46993,                0.96596,                0.97712,                 0.9922,                0.99479,                 0.9919,                 0.1657,                  0.159,                0.26889,                0.16296,                0.09835,                0.29243,             0.00018483,             0.00018483,             0.00018483
                     82,                0.21921,                0.45383,                0.96833,                0.24139,                0.46361,                0.97809,                0.96192,                0.98275,                0.99426,                0.99413,                0.12076,                0.14353,                0.22671,                0.10966,                0.11183,                0.21474,               0.000184,               0.000184,               0.000184
                     83,                0.20987,                0.44611,                0.96299,                0.23391,                0.46013,                0.97169,                0.98374,                0.97778,                0.99418,                0.99361,                0.13711,                0.16602,                0.22336,                0.11838,                0.09867,                0.22674,             0.00018318,             0.00018318,             0.00018318
                     84,                0.22334,                0.47112,                0.96712,                0.24417,                0.48365,                0.97595,                0.98213,                0.97355,                0.99312,                0.99161,                0.16694,                0.19637,                0.26296,                0.14994,                0.11902,                0.27187,             0.00018235,             0.00018235,             0.00018235
                     85,                0.21168,                0.45527,                 0.9559,                0.23379,                0.46577,                 0.9644,                 0.9853,                0.97216,                0.99396,                0.98889,                0.12679,                0.15293,                0.24172,                0.12802,                0.10221,                 0.2649,             0.00018153,             0.00018153,             0.00018153
                     86,                0.22083,                0.44061,                0.96787,                 0.2417,                 0.4533,                0.97546,                0.98679,                 0.9831,                0.99457,                0.99229,                  0.142,                0.16002,                0.25314,                0.15106,                 0.0932,                0.30081,              0.0001807,              0.0001807,              0.0001807
                     87,                0.20633,                0.42786,                0.95719,                0.22634,                 0.4431,                0.96499,                0.98704,                 0.9871,                0.99455,                0.99441,                0.14641,                0.14288,                0.24296,                0.17447,                0.09816,                0.28804,             0.00017988,             0.00017988,             0.00017988
                     88,                0.21376,                0.43777,                0.96317,                0.23412,                0.44831,                0.97047,                0.98816,                0.98922,                0.99481,                0.99392,                0.13489,                 0.1462,                0.24193,                0.13119,                0.07704,                0.26582,             0.00017905,             0.00017905,             0.00017905
                     89,                0.21397,                0.44137,                0.95827,                0.23327,                0.45449,                0.96644,                 0.9821,                0.99188,                0.99456,                0.99456,                0.12666,                0.13205,                0.20177,                0.13102,                0.07983,                0.22438,             0.00017823,             0.00017823,             0.00017823
