                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.62403,                0.66081,                 1.1001,                 0.6997,                0.78777,                  1.145,                0.87458,                0.85449,                0.92915,                0.75857,                0.87442,                0.56541,                  1.389,                0.87211,                0.60208,                  1.405,             0.00027915,             0.00027915,             0.00027915
                     52,                0.63681,                0.67964,                 1.1284,                0.70314,                0.78871,                 1.1652,                0.89819,                0.87566,                0.94999,                0.75011,                 0.9705,                0.56203,                 1.4734,                0.97303,                0.53671,                 1.5011,             0.00027806,             0.00027806,             0.00027806
                     53,                0.61786,                0.63855,                 1.1066,                0.69023,                0.76376,                 1.1482,                0.86286,                0.83669,                0.94076,                0.74723,                0.88632,                0.59212,                 1.3468,                 0.9155,                0.62481,                 1.3947,             0.00027696,             0.00027696,             0.00027696
                     54,                0.61275,                0.64103,                 1.0969,                0.68721,                0.75425,                 1.1412,                0.86236,                 0.8939,                0.94734,                0.74715,                0.90174,                0.53549,                 1.3751,                0.91432,                0.54143,                 1.4064,             0.00027586,             0.00027586,             0.00027586
                     55,                0.61395,                0.61556,                 1.1023,                0.67074,                  0.716,                 1.1359,                0.88865,                0.83383,                0.91501,                0.75289,                 0.7918,                0.51988,                 1.2645,                0.82475,                0.56674,                 1.3101,             0.00027476,             0.00027476,             0.00027476
                     56,                 0.6066,                0.61422,                 1.0911,                0.67436,                0.73192,                 1.1307,                 0.8684,                0.87444,                0.93712,                0.73999,                0.89789,                0.54962,                 1.3854,                0.92997,                0.61142,                 1.4229,             0.00027366,             0.00027366,             0.00027366
                     57,                0.61035,                0.59737,                 1.0913,                0.67588,                0.72282,                 1.1281,                0.91767,                0.85054,                 0.9287,                0.77426,                0.73615,                0.55967,                 1.2342,                0.74787,                0.54699,                 1.2505,             0.00027256,             0.00027256,             0.00027256
                     58,                0.60898,                0.62158,                 1.0981,                0.67974,                 0.7299,                 1.1397,                0.86157,                0.87761,                0.94478,                0.77894,                0.77139,                0.51755,                 1.2521,                0.79138,                0.53736,                 1.2983,             0.00027146,             0.00027146,             0.00027146
                     59,                0.61007,                0.61975,                 1.1076,                0.67496,                0.73502,                  1.147,                0.91275,                0.83604,                 0.9344,                0.75211,                0.86802,                0.52055,                 1.3628,                0.87735,                0.53921,                 1.4081,             0.00027036,             0.00027036,             0.00027036
                     60,                0.60476,                0.62302,                 1.0957,                 0.6698,                0.71898,                 1.1359,                0.85949,                0.87824,                0.93541,                0.75301,                 0.8222,                 0.5343,                 1.3227,                0.85657,                0.52823,                 1.3652,             0.00026926,             0.00026926,             0.00026926
                     61,                0.60439,                0.60574,                 1.0946,                0.66888,                 0.7294,                 1.1328,                0.87699,                0.86561,                0.92481,                0.72905,                0.90747,                0.60027,                 1.4276,                0.93882,                 0.6472,                 1.4687,             0.00026816,             0.00026816,             0.00026816
                     62,                0.60642,                0.60974,                 1.0994,                 0.6788,                0.70527,                   1.14,                0.85343,                0.90318,                0.93375,                0.75359,                0.85689,                0.63476,                  1.361,                0.87911,                 0.6522,                 1.3847,             0.00026707,             0.00026707,             0.00026707
                     63,                0.60667,                0.60713,                 1.0963,                0.66824,                0.73122,                 1.1357,                0.86175,                0.84158,                0.92708,                0.74251,                0.82923,                0.59136,                 1.3039,                0.84088,                 0.6096,                 1.3669,             0.00026597,             0.00026597,             0.00026597
                     64,                0.61189,                0.61838,                  1.101,                0.67608,                0.72825,                 1.1404,                0.87359,                0.89074,                0.93676,                0.73846,                0.92394,                0.64776,                 1.4613,                0.93445,                0.76035,                 1.4707,             0.00026487,             0.00026487,             0.00026487
                     65,                0.59786,                0.57882,                 1.0829,                0.66285,                0.67637,                 1.1206,                0.84563,                0.83716,                0.88824,                0.71658,                0.80704,                0.58557,                 1.2735,                 0.8353,                0.67453,                 1.3122,             0.00026377,             0.00026377,             0.00026377
                     66,                0.60466,                0.60179,                 1.0911,                0.66485,                0.71875,                 1.1259,                0.91468,                0.85959,                0.93823,                0.74831,                0.85846,                0.43869,                 1.3522,                0.86117,                0.46839,                 1.3736,             0.00026267,             0.00026267,             0.00026267
                     67,                0.58042,                0.57994,                 1.0751,                0.64332,                0.68602,                 1.1162,                0.90241,                0.83942,                0.94485,                0.76189,                0.83027,                0.53416,                 1.3247,                0.83119,                0.55178,                 1.3371,             0.00026157,             0.00026157,             0.00026157
                     68,                0.58918,                0.58793,                 1.0841,                0.65566,                0.70049,                 1.1245,                0.90983,                0.84685,                0.94015,                0.78179,                0.78378,                0.54703,                 1.2713,                0.77927,                0.53471,                 1.2629,             0.00026047,             0.00026047,             0.00026047
                     69,                0.58764,                0.57087,                 1.0965,                0.65362,                0.65812,                  1.136,                0.92165,                0.83405,                0.93003,                0.72782,                0.95194,                0.53688,                 1.4635,                0.97931,                0.55499,                 1.4967,             0.00025937,             0.00025937,             0.00025937
                     70,                0.58396,                0.54077,                 1.0811,                0.64786,                 0.6291,                 1.1195,                0.90609,                0.80488,                0.91333,                0.76036,                0.75403,                0.66467,                 1.2448,                0.77213,                0.72386,                 1.2661,             0.00025827,             0.00025827,             0.00025827
                     71,                0.58536,                0.56521,                 1.0829,                0.64834,                0.65755,                 1.1223,                0.91262,                0.86792,                0.93909,                0.75664,                0.85491,                0.62054,                 1.3659,                0.88068,                0.70922,                 1.4096,             0.00025718,             0.00025718,             0.00025718
                     72,                0.59667,                0.59549,                 1.0885,                0.66572,                0.69424,                 1.1269,                0.93297,                0.87095,                0.95899,                0.75774,                0.96145,                0.53255,                 1.4877,                0.95625,                0.51982,                 1.4951,             0.00025608,             0.00025608,             0.00025608
                     73,                0.58328,                0.55684,                 1.0753,                0.64244,                0.65767,                 1.1106,                0.85162,                0.88558,                0.94346,                0.75652,                0.89091,                0.66841,                 1.3979,                0.90494,                0.68365,                 1.4328,             0.00025498,             0.00025498,             0.00025498
                     74,                0.57046,                0.53541,                  1.069,                0.63562,                0.62691,                 1.1039,                0.85783,                0.89348,                0.92932,                0.75534,                0.83856,                0.61802,                 1.3446,                 0.8572,                0.70317,                 1.3765,             0.00025388,             0.00025388,             0.00025388
                     75,                0.56287,                0.54507,                 1.0629,                0.62782,                0.63438,                 1.0979,                 0.9048,                0.86378,                0.94225,                0.74549,                0.91656,                0.52292,                 1.4345,                 0.9314,                0.56663,                 1.4523,             0.00025278,             0.00025278,             0.00025278
                     76,                0.57733,                 0.5465,                  1.078,                0.63473,                0.61801,                 1.1125,                0.86271,                0.84173,                0.92885,                0.75945,                0.80535,                0.71833,                 1.2981,                0.80774,                0.80893,                 1.3175,             0.00025168,             0.00025168,             0.00025168
                     77,                0.57253,                 0.5291,                 1.0714,                0.63082,                0.61755,                 1.1049,                 0.8884,                 0.8438,                0.91849,                0.72935,                 0.8714,                0.69585,                 1.3687,                0.88746,                0.73563,                  1.397,             0.00025058,             0.00025058,             0.00025058
                     78,                 0.5867,                0.54946,                 1.0813,                0.65321,                0.64159,                 1.1188,                0.92922,                0.84637,                0.94526,                0.77745,                0.80524,                0.58561,                 1.3204,                0.80659,                0.58874,                 1.3393,             0.00024948,             0.00024948,             0.00024948
                     79,                0.57846,                0.55161,                 1.0785,                0.63279,                0.64633,                 1.1138,                0.87364,                0.85753,                0.92597,                 0.7793,                0.74292,                0.64927,                 1.2512,                0.74747,                0.64178,                 1.2638,             0.00024838,             0.00024838,             0.00024838
                     80,                0.57005,                0.52688,                 1.0708,                0.63408,                0.60727,                  1.108,                 0.8481,                0.83612,                0.93048,                0.75326,                0.83775,                0.61918,                  1.344,                0.84772,                0.68748,                 1.3697,             0.00024729,             0.00024729,             0.00024729
                     81,                0.56357,                0.54481,                 1.0684,                0.62664,                0.65491,                 1.1079,                0.89656,                0.91291,                0.94203,                0.77744,                0.77937,                0.53893,                 1.2619,                0.79414,                0.53633,                 1.2822,             0.00024619,             0.00024619,             0.00024619
                     82,                0.56377,                0.52382,                 1.0771,                0.62676,                0.60013,                 1.1166,                0.90596,                0.88683,                0.95073,                0.77405,                0.84573,                0.53019,                 1.3304,                0.85254,                 0.5413,                 1.3415,             0.00024509,             0.00024509,             0.00024509
                     83,                 0.5588,                0.51902,                 1.0725,                0.61836,                  0.604,                 1.1063,                0.91016,                0.81428,                 0.9363,                0.75997,                0.84078,                0.50655,                 1.3482,                0.86493,                 0.5327,                 1.3763,             0.00024399,             0.00024399,             0.00024399
                     84,                0.55157,                0.51195,                 1.0642,                0.61884,                0.58177,                 1.0997,                0.87866,                0.86291,                0.94049,                0.76009,                0.85937,                0.74497,                 1.3696,                0.86154,                0.79837,                 1.3804,             0.00024289,             0.00024289,             0.00024289
                     85,                0.57292,                0.52692,                 1.0728,                0.63748,                0.61467,                 1.1101,                0.91428,                0.87439,                0.95025,                0.76022,                0.88769,                0.52139,                 1.3816,                0.90355,                0.52952,                  1.405,             0.00024179,             0.00024179,             0.00024179
                     86,                0.55969,                 0.5114,                 1.0676,                0.62086,                0.60218,                 1.1067,                0.88461,                0.80313,                0.92896,                0.75234,                0.84996,                0.58258,                 1.3622,                0.86724,                0.64032,                 1.3927,             0.00024069,             0.00024069,             0.00024069
                     87,                0.55395,                0.48902,                 1.0546,                0.61554,                0.55408,                 1.0881,                0.88921,                0.86092,                0.93083,                0.75935,                0.85032,                0.50767,                 1.3544,                0.83949,                0.61427,                 1.3741,             0.00023959,             0.00023959,             0.00023959
                     88,                0.53833,                 0.4729,                 1.0498,                0.60212,                0.54787,                  1.087,                0.89122,                0.84292,                0.93948,                0.77231,                0.83296,                0.59805,                 1.3708,                 0.8425,                 0.6144,                 1.3812,             0.00023849,             0.00023849,             0.00023849
                     89,                0.55086,                0.48714,                 1.0591,                0.61353,                0.57808,                 1.0957,                0.92438,                0.87999,                0.92883,                0.76658,                0.75623,                0.46789,                  1.257,                0.75822,                0.52457,                 1.2745,              0.0002374,              0.0002374,              0.0002374
                     90,                0.54073,                0.48142,                 1.0507,                0.59497,                0.55703,                 1.0838,                0.94823,                0.85824,                0.95756,                0.78042,                0.80894,                0.53208,                 1.3483,                0.80628,                0.57053,                 1.3627,              0.0002363,              0.0002363,              0.0002363
                     91,                0.54651,                0.49561,                 1.0551,                0.60599,                 0.5735,                 1.0902,                0.87322,                0.89077,                  0.954,                0.77831,                0.82241,                0.50936,                 1.3323,                0.82182,                0.52855,                 1.3429,              0.0002352,              0.0002352,              0.0002352
                     92,                0.55336,                0.49058,                 1.0729,                0.61225,                0.57438,                 1.1078,                 0.8967,                   0.88,                0.94689,                0.79036,                0.74439,                0.52727,                 1.2401,                0.76976,                0.50133,                 1.2822,              0.0002341,              0.0002341,              0.0002341
                     93,                0.55264,                0.48637,                 1.0642,                0.60903,                 0.5696,                 1.0976,                0.90669,                0.87157,                0.94849,                0.78702,                0.77371,                 0.5498,                 1.2976,                0.79611,                0.59916,                 1.3194,               0.000233,               0.000233,               0.000233
                     94,                0.55797,                0.52037,                 1.0652,                0.62463,                0.60074,                 1.1044,                0.88674,                0.83119,                0.92617,                0.75084,                0.84908,                0.69681,                 1.3805,                0.85215,                0.70729,                  1.398,              0.0002319,              0.0002319,              0.0002319
                     95,                0.53589,                0.48593,                 1.0519,                0.59165,                0.57287,                 1.0868,                0.89007,                0.87577,                0.93913,                 0.7573,                0.84473,                0.64629,                  1.347,                0.86511,                0.71818,                 1.3772,              0.0002308,              0.0002308,              0.0002308
                     96,                0.55557,                 0.4852,                 1.0557,                0.61135,                0.56614,                 1.0852,                0.87267,                0.82651,                0.91048,                0.73878,                0.85218,                0.68267,                   1.36,                0.87943,                0.76148,                 1.3937,              0.0002297,              0.0002297,              0.0002297
                     97,                0.53121,                0.47049,                 1.0439,                 0.5928,                0.53575,                 1.0815,                0.88878,                0.86482,                0.95023,                0.78705,                0.74802,                 0.5124,                 1.2351,                0.77846,                 0.5657,                 1.2743,              0.0002286,              0.0002286,              0.0002286
                     98,                0.52939,                0.44998,                 1.0407,                0.58915,                0.51276,                 1.0736,                0.88364,                0.86836,                0.94997,                0.79187,                0.77941,                0.49531,                 1.2766,                 0.7924,                 0.5529,                 1.3098,             0.00022751,             0.00022751,             0.00022751
                     99,                0.53864,                0.47227,                  1.055,                0.59375,                0.53865,                 1.0874,                0.88073,                0.92854,                0.93923,                0.77251,                0.83976,                0.58446,                 1.3775,                0.86407,                0.60866,                 1.4192,             0.00022641,             0.00022641,             0.00022641
                    100,                0.53888,                 0.4768,                  1.049,                0.60706,                0.55034,                 1.0877,                0.92133,                0.85242,                0.93183,                0.75462,                0.85126,                0.56249,                 1.3675,                0.85595,                0.65055,                 1.3873,             0.00022531,             0.00022531,             0.00022531
                    101,                0.54155,                0.46464,                 1.0475,                0.60171,                0.52857,                 1.0823,                0.85964,                0.89453,                0.93984,                0.74722,                 0.8777,                0.57364,                 1.4023,                0.90066,                0.65834,                  1.438,             0.00022421,             0.00022421,             0.00022421
                    102,                0.52655,                0.46632,                 1.0491,                0.58053,                0.54398,                 1.0831,                0.90214,                0.85579,                0.93475,                0.75791,                0.87002,                0.58867,                  1.413,                0.87848,                0.60227,                 1.4261,             0.00022311,             0.00022311,             0.00022311
                    103,                0.53246,                0.46106,                 1.0528,                0.59188,                0.52533,                 1.0844,                0.89051,                0.87453,                0.94738,                0.79078,                0.76945,                0.54109,                 1.2809,                0.78059,                0.61451,                 1.3079,             0.00022201,             0.00022201,             0.00022201
                    104,                0.53315,                0.46555,                 1.0579,                0.59549,                0.52848,                 1.0938,                0.90452,                0.86586,                0.94769,                0.74581,                 0.8841,                0.60795,                 1.4317,                0.90156,                0.65718,                 1.4593,             0.00022091,             0.00022091,             0.00022091
                    105,                0.55173,                0.47281,                 1.0688,                0.61032,                0.53374,                 1.1017,                0.89281,                0.85498,                0.93326,                0.77316,                0.79987,                0.57013,                 1.2981,                0.81052,                0.56002,                 1.3082,             0.00021981,             0.00021981,             0.00021981
                    106,                0.52281,                0.44019,                 1.0417,                0.58008,                0.51449,                 1.0751,                0.90658,                0.83539,                0.94171,                0.78689,                 0.7351,                0.48711,                 1.2476,                0.75532,                0.53652,                 1.2672,             0.00021871,             0.00021871,             0.00021871
