                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.87997,                 0.8614,                 1.2612,                0.94447,                 1.0804,                  1.292,                0.86323,                0.85394,                0.92707,                0.66717,                 1.1726,                 1.0534,                 1.4936,                 1.2228,                  1.064,                 1.5582,             0.00028575,             0.00028575,             0.00028575
                     46,                0.88448,                0.88891,                 1.2639,                0.95135,                 1.1127,                 1.2992,                0.86554,                0.80552,                0.91495,                0.68594,                 1.1062,                0.68761,                 1.4222,                 1.1494,                0.73874,                 1.4723,             0.00028465,             0.00028465,             0.00028465
                     47,                0.87061,                0.88123,                 1.2563,                0.92879,                 1.1036,                  1.284,                0.90618,                0.86874,                0.92783,                0.70272,                 1.0861,                0.65918,                 1.3816,                 1.1179,                0.68249,                 1.4265,             0.00028355,             0.00028355,             0.00028355
                     48,                0.87151,                0.87358,                  1.262,                0.92932,                 1.0917,                 1.2903,                0.85874,                0.89103,                0.94261,                0.67482,                 1.2737,                0.72629,                 1.6312,                 1.2789,                0.72336,                 1.6294,             0.00028245,             0.00028245,             0.00028245
                     49,                0.85602,                0.86011,                 1.2499,                0.92279,                  1.094,                 1.2861,                0.88093,                0.88431,                0.93594,                 0.6635,                 1.2566,                0.65962,                 1.5809,                 1.2849,                0.64702,                 1.6079,             0.00028135,             0.00028135,             0.00028135
                     50,                0.86172,                0.85406,                 1.2603,                0.92137,                 1.0972,                 1.2958,                0.91559,                0.80377,                0.93665,                0.70382,                 1.1523,                0.56849,                 1.4551,                 1.1524,                0.63552,                 1.4623,             0.00028025,             0.00028025,             0.00028025
                     51,                0.85695,                0.86338,                 1.2636,                0.90908,                 1.1072,                 1.2916,                0.88124,                0.83553,                0.92793,                0.71289,                 1.0666,                 0.6358,                 1.3761,                 1.0482,                0.68446,                 1.3706,             0.00027915,             0.00027915,             0.00027915
                     52,                0.86011,                0.86518,                 1.2574,                 0.9176,                 1.0821,                 1.2875,                0.91034,                0.84192,                0.93423,                0.74138,                0.93588,                0.61723,                 1.2587,                0.95711,                0.63418,                 1.2832,             0.00027806,             0.00027806,             0.00027806
                     53,                0.85915,                0.82746,                 1.2511,                0.92511,                 1.0254,                 1.2861,                0.84418,                0.88942,                0.92645,                0.72108,                  1.005,                0.64768,                 1.3179,                 1.0199,                0.65454,                  1.328,             0.00027696,             0.00027696,             0.00027696
                     54,                0.86505,                0.85143,                 1.2527,                0.93512,                 1.0593,                 1.2889,                0.88639,                0.83793,                0.92454,                 0.6918,                 1.1159,                0.63544,                 1.4206,                 1.1296,                0.69488,                  1.445,             0.00027586,             0.00027586,             0.00027586
                     55,                0.84103,                 0.8261,                 1.2394,                0.90902,                 1.0254,                 1.2731,                0.93732,                0.87144,                0.95839,                0.71436,                 1.0895,                 0.5274,                 1.3786,                  1.118,                0.53308,                 1.4062,             0.00027476,             0.00027476,             0.00027476
                     56,                0.84492,                0.80485,                 1.2379,                0.91591,                  1.005,                 1.2715,                0.87754,                 0.8675,                 0.9403,                0.66078,                 1.3035,                0.62523,                 1.6095,                 1.3232,                0.65516,                 1.6219,             0.00027366,             0.00027366,             0.00027366
                     57,                  0.856,                0.84719,                 1.2609,                0.92417,                 1.0662,                  1.296,                0.91303,                0.82074,                0.91763,                0.72386,                 1.0012,                 0.5923,                 1.3309,                 1.0215,                0.64808,                 1.3663,             0.00027256,             0.00027256,             0.00027256
                     58,                0.84013,                0.81448,                 1.2367,                0.91275,                 1.0053,                 1.2701,                0.83291,                0.84086,                 0.9005,                0.61368,                 1.3926,                0.67443,                 1.7256,                 1.3904,                0.76588,                 1.7248,             0.00027146,             0.00027146,             0.00027146
                     59,                0.82767,                0.80963,                 1.2422,                0.89573,                 1.0063,                 1.2744,                0.87534,                0.84786,                0.92688,                0.65393,                 1.2753,                0.68922,                 1.5763,                 1.2836,                0.69641,                 1.5973,             0.00027036,             0.00027036,             0.00027036
                     60,                0.83575,                0.81287,                 1.2352,                0.91032,                  1.014,                 1.2698,                0.84642,                0.87525,                0.93825,                 0.7007,                 1.1228,                0.56857,                 1.4465,                 1.1542,                 0.6148,                  1.477,             0.00026926,             0.00026926,             0.00026926
                     61,                0.81887,                0.79953,                 1.2323,                0.88324,                0.99965,                 1.2613,                0.85077,                 0.8846,                0.93715,                0.71462,                 1.0362,                0.65264,                 1.3264,                 1.0667,                0.68227,                 1.3625,             0.00026816,             0.00026816,             0.00026816
                     62,                0.83919,                0.81573,                 1.2447,                0.92232,                 1.0152,                 1.2837,                0.88372,                0.86052,                0.92037,                0.68085,                 1.1848,                0.67305,                  1.511,                 1.1944,                 0.7443,                  1.505,             0.00026707,             0.00026707,             0.00026707
                     63,                0.82297,                0.79623,                 1.2345,                0.88618,                0.98376,                 1.2696,                0.85799,                0.82885,                0.90514,                0.65357,                 1.2488,                0.77262,                 1.5307,                 1.2676,                 0.8103,                 1.5666,             0.00026597,             0.00026597,             0.00026597
                     64,                 0.8201,                0.77945,                 1.2343,                0.88505,                0.94174,                 1.2652,                0.87386,                0.86271,                0.94718,                0.72186,                 1.1222,                0.65031,                  1.441,                  1.135,                0.70271,                  1.465,             0.00026487,             0.00026487,             0.00026487
                     65,                0.82966,                0.79651,                 1.2374,                0.89752,                0.97858,                 1.2693,                0.87636,                0.82898,                0.92317,                0.72761,                0.98324,                 0.6107,                 1.2995,                0.98034,                0.66433,                 1.3075,             0.00026377,             0.00026377,             0.00026377
