epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,35460.7,0.70251,0.90133,1.22411,0.8783,0.89784,0.94664,0.76872,0.82534,0.68248,1.25316,0.000106,0.000106,0.000106
66,35746.6,0.71568,0.90435,1.21993,0.91794,0.86612,0.94353,0.74127,0.9245,0.71894,1.32857,0.00010375,0.00010375,0.00010375
67,36031.8,0.70539,0.89519,1.20353,0.90083,0.89484,0.94708,0.76495,0.85731,0.70208,1.29368,0.0001015,0.0001015,0.0001015
68,36317.2,0.70312,0.91634,1.22543,0.89297,0.88703,0.94179,0.75619,0.83188,0.68349,1.265,9.925e-05,9.925e-05,9.925e-05
69,36603.3,0.71039,0.8853,1.21691,0.9156,0.89061,0.95086,0.73609,0.94792,0.71618,1.3899,9.7e-05,9.7e-05,9.7e-05
70,36888.3,0.71865,0.91771,1.22115,0.89404,0.89574,0.95547,0.74676,0.93644,0.70639,1.36517,9.475e-05,9.475e-05,9.475e-05
71,37174.3,0.71743,0.91944,1.22442,0.91753,0.8712,0.95046,0.74112,0.96542,0.72151,1.3873,9.25e-05,9.25e-05,9.25e-05
72,37461,0.70008,0.88536,1.20361,0.90579,0.90603,0.95926,0.74373,0.98111,0.67806,1.39903,9.025e-05,9.025e-05,9.025e-05
73,37747.7,0.70792,0.89977,1.22129,0.92596,0.88021,0.95783,0.75485,0.93956,0.68882,1.36796,8.8e-05,8.8e-05,8.8e-05
74,38033.2,0.68672,0.87813,1.20127,0.90291,0.86705,0.94189,0.74684,0.90272,0.71565,1.3374,8.575e-05,8.575e-05,8.575e-05
75,38319.1,0.67894,0.88002,1.20348,0.92851,0.87849,0.95847,0.77321,0.85593,0.67207,1.28249,8.35e-05,8.35e-05,8.35e-05
76,38605.4,0.68746,0.86096,1.20379,0.88959,0.89685,0.96421,0.75694,0.94692,0.65276,1.37161,8.125e-05,8.125e-05,8.125e-05
77,38895,0.69906,0.88672,1.20301,0.9427,0.86766,0.956,0.76699,0.87964,0.64579,1.30389,7.9e-05,7.9e-05,7.9e-05
78,39183.1,0.69361,0.87515,1.20896,0.93485,0.86518,0.95937,0.79378,0.79215,0.64368,1.23073,7.675e-05,7.675e-05,7.675e-05
79,39471.7,0.68213,0.84383,1.19297,0.9147,0.89976,0.96471,0.7759,0.86988,0.61081,1.29495,7.45e-05,7.45e-05,7.45e-05
